text,summary
"Há sete anos no local, o espaço da Companhia das Letras na Livraria Cultura do Conjunto Nacional foi fechado —em reformas, o ponto deve servir para ampliar a loja Geek.Etc.Br, espaço voltado à cultura nerd.  Os cerca de 3.000 títulos vendidos no local, número correspondente ao catálogo da editora, serão absorvidos pela própria livraria.  Segundo a editora, a iniciativa foi da Livraria Cultura, que pediu o local para a Geek.Etc.Br. A Companhia das Letras pagava aluguel do ponto.  Não é o primeiro espaço dedicado a uma editora a ser fechado no local. De 2009 a 2012, a livraria também tinha um espaço da Record, que também deu lugar à Geek.Etc.Br.  A Companhia das Letras chegou a fazer uma promoção no começo de janeiro para os leitores. O catálogo da editora continua disponível nas lojas da rede.  Além de ponto de vendas, a editora paulistana costumava usar o local para sessões de autógrafos de seus autores.","Após sete anos, loja da Companhia das Letras no Conjunto Nacional é fechada"
"A descoberta de irregularidades na saúde, que teve um dos seus ápices com a denúncia, em 2015, da máfia das próteses, um sistema que estipulava comissões a médicos que usassem os produtos de determinadas empresas, ainda está apenas começando, segundo Pedro Ramos, diretor da Abramge (Associação Brasileira de Planos de Saúde).  ""Quando as denúncias chegam à mídia os preços caem, mas sem nenhuma ação efetiva, os valores acabam voltando ao que eram"", afirmou.  Ramos fez as declarações na manhã desta segunda (27) em um debate durante o 4º Fórum Saúde do Brasil: Transparência e Prevenção, promovido pela Folha e patrocinado por FenaSaúde (Federação Nacional de Saúde Suplementar), Amil e Abimed (Associação Brasileira da Indústria de Alta Tecnologia de Produtos para Saúde).  Para ele, a solução para a corrupção no setor pode estar em acordos feitos diretamente com a indústria, que barram empresas que praticam preços irregulares e dão margem à corrupção.  A Abramge processa, nos Estados Unidos, 11 companhias estrangeiras fornecedoras de produtos para a saúde e com uma delas, segundo Ramos, um acordo que reduz o preço do produto pela metade já foi fechado na última semana.  ""Esse custo não era logística ou outra coisa, era corrupção"", afirmou ele, que também é autor do livro ""A Máfia das Próteses - Uma Ameaça à Saúde"" (Ed. Évora).  ""O que encarece o produto é a cadeia da propina. Maus médicos formam uma máfia e nos roubam.""    REDUÇÃO DE CUSTOS  Para Solange Mendes, presidente da FenaSaúde, o dever de casa mais urgente da saúde suplementar, que inclui operadoras de planos e seguros de saúde privados, é cortar os custos.  Segundo ela, as operadoras precisam zelar pelo dinheiro do cliente. ""Não podemos pagar essa conta cegamente"", disse durante o debate. ""As operadoras devem concentrar todos os esforços na redução de custos.""  Sobre a corrupção na saúde, Mendes lembrou a importância da transparência nos registros de materiais utilizados e procedimentos realizados. ""A maior responsabilidade é a do médico. Ele é o profissional que dá início a todo esse processo"", afirmou.  ""As universidades devem se empenhar na formação desse profissional do ponto de vista humanista e comportamental"", completou.  Gláucio Pegurin Libório, presidente do Conselho de Administração do Instituto Ética Saúde, disse que problemas de corrupção no setor envolvem não só médicos e distribuidores de produtos, mas também os hospitais e os planos de saúde.  ""A transparência deve estar em toda a cadeia de fornecimento desses produtos"", afirmou. ""Precisamos colocar todos juntos para discutir o problema"".  Mendes, da FenaSaúde, disse que iniciativas voltadas para a promoção da ética na saúde são bem-vindas, mas, acrescentou, ""precisamos de ações mais imediatas"".  O evento acontece nesta segunda (27) e terça (28) no MIS (Museu da Imagem e do Som), em São Paulo.","Cadeia da propina encarece produtos para saúde, diz especialista"
"Apesar de precisar de uma vitória por pelo menos quatro gols de diferença para ir à decisão da Liga dos Campeões da Europa, o Bayern de Munique não se lançará ao ataque desesperadamente contra o Barcelona, terça-feira (12), na Alemanha, na segunda da semifinal do torneio continental.  Segundo o técnico Pep Guardiola, é impossível repetir contra os catalães a estratégia suicida que deu certo nas quartas de final contra o Porto.  Na ocasião, depois de perder por 3 a 1 o jogo de ida, o Bayern foi para o tudo ou nada no segundo confronto. Com 27 minutos de partida, já vencia por 3 a 0 -o resultado final foi 6 a 1 para os alemães.  ""Eu gostaria de ir para esse jogo rápido e fazê-lo bem. Mas, quanto mais rápido corrermos com a bola, mas rápido ela volta. O Barcelona se tornou dona do melhor contra-ataque do mundo"", disse Guardiola, que disse apostar na paciência para tentar reverter a vantagem espanhola.  ""Adoraria marcar três gols em cinco minutos, mas precisamos controlar a partida com nosso estilo, da forma como ganhamos os títulos alemães. Talvez não seja suficiente. Mas só falar 'eu sou Pep' e 'esse é o Bayern' não vencem partidas. É preciso jogá-las"", afirmou.  O treinador ainda lamentou os desfalques por lesão de Arjen Robben e Franck Ribéry, atletas de velocidade, que poderiam ajudar os alemães a sufocarem o Barcelona.  ""Nossos jogadores já mostraram que têm vontade. Mas não é o mesmo reverter um 3 a 1 contra o Porto e um 3 a 0 contra o Barcelona [resultado da partida de ida, na Espanha].""","Por medo do Barcelona, Guardiola descarta repetir tática suicida"
"O ministro de Minas e Energia, Fernando Coelho Filho, disse à Folha que o governo vai ""flexibilizar"" as regras de conteúdo local no setor de petróleo e deve prorrogar o programa de isenção tributária para compra de equipamentos petrolíferos, chamado de Repetro, por mais 20 anos.  Segundo ele, as medidas, que devem ser lançadas no mês de dezembro, têm o objetivo de tornar o setor de óleo e gás mais competitivo.  A renovação do Repetro, programa especial de tributação de exportação e importação de bens destinados à exploração de petróleo e gás natural que vence em 2019, é reivindica pelas empresas.  Segundo petroleiras, sua extinção representaria perda de competitividade e redução de investimentos no setor.  Fernando Coelho informou ainda que o governo deve incluir, no cálculo de conteúdo local, investimentos realizados em fábricas.  ""Vamos reduzir exigências e aumentar itens que podem ser computados como conteúdo local, num mix que vai criar algo mais realista, um processo que ajude o setor, e não prejudique a indústria.""  Nesta semana, o governo divulgou a minuta com as novas regras para os leilões de 2017, mas não agradou nem a petroleiras nem a fabricantes de máquinas e equipamentos. O documento ficará em consulta pública até o dia 18, período em que os interessados poderão enviar propostas de aperfeiçoamento.  O presidente-executivo da Abimaq, José Velloso, disse que a proposta representa ""o fim"" do conteúdo local.  Ele critica o conceito de ""conteúdo local global"", que extingue a planilha de bens que precisam ter índice de nacionalização e cria um percentual para todo o investimento. ""Agora, até advogado vai virar conteúdo local.""  A entidade vai propor que o percentual seja dividido por grandes grupos de equipamentos, como cascos. A Abimaq defende ainda a ampliação do programa de incentivos fiscais para equipamentos petrolíferos.  ""Nos últimos dez anos, o governo e a Petrobras foram ao exterior atrair empresas para o Brasil. Conseguiram US$ 60 bilhões em investimentos em capacidade produtiva e agora vemos esse cavalo de pau nas regras"", diz.  Para o Instituto Brasileiro do Petróleo (IBP), que representa as petroleiras, a proposta simplifica as regras, mas ainda não resolve totalmente a questão das multas pelo não cumprimento das obrigações, uma das principais bandeiras do segmento.  O documento trata apenas de regras para os leilões de 2017. Para o leilão de campos marginais, elimina a obrigação de compras no país. Para o pré-sal, determina percentuais obrigatórios semelhantes aos das áreas adjacentes às reservas, concedidas em licitações anteriores.  Na maior parte dos casos, são percentuais menores do que o primeiro leilão do pré-sal, que estipulou conteúdo local mínimo de 55%. Agora, variam entre 30% e 65%.",Indústria critica plano de incentivo a fabricantes do setor de petróleo
"Policiais militares foram chamados de assassinos por um delegado da Polícia Civil, neste final de semana, durante uma confusão na saída de um bar na zona norte de São Paulo.  Bastante alterado, o delegado Vitor Onoro Martinez direcionou as ofensas a PMs que foram acionados por causa de uma denúncia de agressão na avenida Engenheiro Caetano Álvares, na região do Imirim. A confusão foi filmada e divulgada nas redes sociais.  Saiba mais em http://folha.com/no1669926",Delegado se altera e chama PMs de 'assassinos' durante confusão em SP
"Dez pessoas foram mortas a tiros e outras cinco ficaram feridas em quatro locais na região do Jardim São Luiz, zona sul de São Paulo, entre a noite de sexta (6) e a madrugada deste sábado (7). Nenhum suspeito foi preso.  Não foi possível estabelecer relação entre os quatro eventos, segundo a Secretaria de Segurança Pública. Os mortos já foram identificados e, de acordo com a pasta, sete tinham passagens por por tráfico, roubo, furto, homicídio e porte ilegal de arma de fogo.  O Departamento de DHPP (Homicídios e de Proteção à Pessoa) divulgou um retrato falado de um dos suspeitos a partir de dados colhidos com uma das testemunhas. O homem tem cabelos castanhos escuros, aproximadamente 1,65 m de altura e 30 anos.  Os feridos foram levados os hospitais do Campo Limpo e do M'Boi Mirim. A PM não soube informar o estado de saúde delas.  As ocorrências foram registradas no 47.º Distrito Policial (Capão Redondo). Os casos estão sendo apurados pelo DHPP.  Os locais em que os crimes ocorreram pertence à divisão administrativa do 92º DP (Parque Santo Antônio). Em janeiro deste ano, quatro homicídios dolosos foram registrados na região, que teve 34 casos em 2014, 20 a menos do que no ano anterior.  MORTES  Segundo a polícia, a primeira ocorrência aconteceu por volta das 22h, na rua Manoel de Siqueira, em Piraporinha. Ao chegar no local, os PMs encontraram Bruno Rafael Clemente Silva, 23, caído, já morto, com cinco ferimentos de tiros na cabeça, quatro no pescoço, um no tórax, um na perna esquerda e um nas costas.  Cerca de 30 minutos depois, a PM recebeu outro chamado, na rua Pedro da Costa Faleiros, onde quatro pessoas foram baleadas. O pintor James de Souza, 35, e o adolescente Ewerton Silva, 16, morreram ainda no local. O primeiro foi atingido por dois disparos no abdômen, um no braço esquerdo, dois na testa e dois na parte de trás da cabeça. Já o adolescente tinha quatro ferimentos na cabeça, um na mão, um no braço direito, dois nas costas e três no tórax.  Ainda na rua Pedro da Costa Faleiros foram socorridos dois jovens, ambos de 18 anos. Um deles foi atingido no abdômen, e o outro foi ferido no braço esquerdo. O segundo afirmou à polícia que caminhava pela rua quando viu quatro homens chegarem em duas motos e atirarem.  Já por volta das 3h10 deste sábado, a PM recebeu outro chamado por conta de uma ocorrência na avenida Fim de Semana. Ao chegarem ao local, os policiais souberam que três pessoas que estavam em um bar foram baleadas por um homem que entrou atirando. Segundo uma testemunha, o suspeito só não atingiu outras pessoas porque a arma falhou.  O motoboy Sidney Vieira Nascimento, 32, morreu no local após ser atingido por dois tiros. O desempregado Sidnei dos Santos, 25, foi encontrado também morto numa viela ao lado do bar, atingido por cinco disparos. A terceira vítima, um pizzaiolo de 21, foi atingida no abdômen e antebraço esquerdo e foi socorrido ao Pronto Socorro do Hospital Campo Limpo.  Por volta das 3h40, outras sete vítimas também foram baleadas em um bar na rua José Sedenho. Testemunhas disseram à polícia que um homem atirou aleatoriamente contra diversas pessoas. Cinco pessoas morreram no local, sendo que três delas estavam na frente do estabelecimento na hora dos disparos. As outras duas vítimas, de 33 e 38 anos foram socorridas e encaminhadas à hospitais da região.",Dez pessoas são mortas e cinco feridas na zona sul de São Paulo
"Se Guardiola fosse técnico do Flamengo, provavelmente, escalaria a equipe como no Manchester City, com quatro defensores, apenas um volante (Márcio Araújo, Rômulo ou Cuéllar), um meia de ligação de cada lado e mais à frente do volante (Diego e Conca) –no Manchester City, são De Bruyne e David Silva–, Éverton Ribeiro e Vinícius Júnior pelas pontas, mais Guerrero. Ele seria muito criticado, e não sei se daria certo. O Manchester City é forte no ataque e frágil na defesa.  Outro time brasileiro badalado é o Palmeiras. Cuca, ao mesmo tempo em que é um treinador inovador, ousado e inquieto, continua apegado a alguns conceitos ultrapassados, como ter um volante para correr atrás do adversário e ainda fazer a cobertura dos laterais. Não dá tempo de ele chegar à frente do jogador que recebe a bola nas costas dos laterais. Não se justifica a troca de Felipe Melo por Thiago Santos. Felipe Melo, além de marcar bem, tem um rápido e bom passe, o que dificulta a organização defensiva do outro time. Thiago Santos é apenas um bom marcador.  Ou o motivo da troca seria retirar a agressiva liderança e a pose de dono do time de Felipe Melo? Imagino que Cuca não goste do jeito falastrão do jogador. Eu também não, mas ele é melhor.  Palmeiras, Flamengo e Atlético-MG eram os favoritos antes de começar o Brasileiro, mas quem tem jogado melhor são Corinthians e Grêmio. Luan, sem precisar voltar para marcar pelos lados e sem ser o atacante mais adiantado, como atuava antes, ficou ainda melhor, formando dupla com Barrios. Luan é o elo coletivo da equipe. Pelo que joga e jogou nos últimos anos, por ser mais jovem e por ter atuado bem na Olimpíada, merecia mais ser convocado que Rodriguinho e Diego Souza.  ★  Nesta sexta-feira (9), Brasil e Argentina se enfrentam. A grande esperança dos argentinos é que Sampaoli repita o sucesso de Tite e forme um ótimo conjunto. Será mais difícil. Os defensores, especialmente os laterais, são muito inferiores aos do Brasil. O conceito de anos atrás, de que a Argentina tinha melhores jogadores do meio para frente, não é mais verdadeiro, por causa da evolução de Casemiro e Philippe Coutinho e o surgimento de Gabriel Jesus, além dos ótimos reservas Willian e Douglas Costa. Há hoje uma igualdade entre as duas seleções nesse setor. Como o Brasil tem um conjunto muito melhor, os jogadores brilham mais.  Além de formar uma equipe, Sampaoli terá dificuldade de escalar Messi, Higuaín, Di Maria e Dybala juntos. Uma das possibilidades seria colocar três zagueiros, o que o técnico faz com frequência, e escalar, como alas, meias habilidosos e rápidos, como Di Maria, pela esquerda.  Neymar está fora do jogo. Ele, por querer mostrar ao mundo que não é apenas um excepcional coadjuvante, atua ainda melhor na seleção. Já Messi, apesar de jogar muito bem no time argentino, não tem a mesma magistral eficiência do Barcelona. Quanto mais ele quer brilhar e dar títulos ao país, mais dificuldades encontra. Por isso, o choro convulsivo e o anúncio de que não jogaria mais pela seleção, após perder um pênalti decisivo na Copa América. Refletiu e voltou atrás.  Parece existir uma instabilidade emocional, algo não resolvido, que não sei o que é, entre Messi, a seleção e o país. Seria importante que ele compreendesse o que se passa. ""Decifra-me ou te devoro"".",Parece existir algo não resolvido entre Messi e a seleção da Argentina
"No último mês, a organização britânica Oxfam apresentou um estudo sobre a concentração de renda no mundo. Os dados vieram de relatório do Credit Suisse e do anuário da ""Forbes"". Os resultados são alarmantes.  Em 2009, a fatia 1% mais rica da população mundial detinha 44% de toda a renda. Esse número saltou em 2014 para 48%. Seguindo o mesmo ritmo, ultrapassará a metade em 2016 e chegará a 54% em 2020.  Ou seja, no ano que vem a renda dos 1% mais ricos ultrapassará a renda dos 99% restantes -72 milhões de pessoas terão mais recursos do que os outros 7,1 bilhões.  Se há quem ainda ache pouco, tem mais. Na massa cheirosa dos 1%, há os que são ainda mais cheirosos do que os outros. Os 80 cidadãos mais ricos do mundo -incluindo dois brasileiros- apropriam-se sozinhos da mesma renda que os 50% mais pobres, isto é, mais de 3,6 bilhões de pessoas.  Opa, alto lá! Sempre ouvimos que é com trabalho que se enriquece, que as oportunidades do mercado são iguais para todos, não é? Então, ou temos 80 cidadãos de bem e 3,6 bilhões de preguiçosos imprestáveis ou algo está muito errado em nossa sociedade ""meritocrática"".  Na verdade, os números do estudo da Oxfam revelam que este mercado é um jogo de cartas marcadas e que a tão propalada mobilidade social do capitalismo não passa de ilusão de ótica: de quem vê exceções no micro para convenientemente ocultar o macro.  As toneladas de discurso dos economistas da ordem sobre progresso econômico e social são menos científicas que a letra de axé: ""O de cima sobe e o de baixo desce"".  Se formos mais adiante, veremos ainda que mesmo entre os 99% -que hoje detêm 52% da renda- a desigualdade também é gritante. Dividindo esses 99% em dois grupos teremos 20% com 46% da renda total e os 79% mais pobres com apenas 6% da renda total. Mais de três quartos da humanidade com 6% da renda!  O economista francês Thomas Piketty, em sua obra-prima lançada no Brasil no ano passado, já havia mostrado que desde os anos 1970 há um crescente aumento da desigualdade social nos países ricos.  A primeira década do século 21 reforçou esta tendência, apesar do crescimento econômico. Isso porque, diz Piketty, a taxa de rendimento do capital foi maior do que o crescimento da economia, ampliando a concentração de renda.  Crescimento não significa menos desigualdade. O bolo pode crescer e as fatias serem distribuídas de forma ainda mais excludente. É o que temos visto no mundo.  Acreditar na filantropia institucional e em políticas assistenciais para reverter este quadro representa ingenuidade ou cinismo.  A redução da desigualdade exige uma forte política distributiva, com taxação das grandes fortunas e do capital financeiro, interrupção do ciclo vicioso da dívida pública e ampliação consistente dos direitos trabalhistas e dos salários.  Foram essas bandeiras que levaram 300 mil às ruas de Madri na semana passada em apoio ao Podemos. Foram elas também que elegeram o Syriza na Grécia.  O 1% de sempre jamais cedeu nada às maiorias sem enfrentamento. Ao contrário, oferece mais arrochos e cortes de direitos aqui e lá fora.  Hoje há 1 contra 99. As lutas de resistência popular pelo mundo trazem novos ventos e anunciam que poderá chegar o dia em que serão 99 contra 1.",99 contra 1
"Se você vive na Itália ou Espanha, é fácil defender a União Europeia. Basta apontar para as muitas políticas comuns, citar uma lista pequena de conquistas, e seu argumento estará completo. Sim, o euroceticismo está em alta nesses países. Mas, se eles promovessem um referendo para decidir se permanecem ou não na UE, o resultado não estaria em dúvida. A União Europeia já faz parte de seu DNA político.  É mais difícil apresentar o argumento pró-Europa no caso do Reino Unido. Mas vou tentar. É mais difícil porque o Reino Unido optou por não participar de todos os elementos mais importantes da UE: o euro; a zona de Schengen, de viagens sem necessidade de apresentar passaporte; a justiça e as questões internas, e os direitos fundamentais. No início do ano, David Cameron conseguiu acrescentar mais alguns elementos quando fechou seu acordo especial com o Conselho Europeu. Seu governo vai poder reduzir os benefícios sociais para cidadãos europeus no país. E o premiê conseguiu isentar o Reino Unido da meta da integração política e de uma ""união cada vez mais estreita"".  Então o que é que se está pedindo aos eleitores britânicos que decidam nesta quinta-feira? Vista da perspectiva britânica, a União Europeia consiste em uma única área alfandegária e um mercado único. Isso é importante para a City londrina e para grandes empresas industriais. Mas não é importante para todo o mundo. Se o ""permanecer na UE"" vencer, o Reino Unido vai continuar na esfera externa do círculo interno. Se o ""sair da UE"" ganhar, o país entrará para a esfera interna do círculo externo.  Há argumentos positivos a ser apresentados em favor do círculo interno. Os diversos países da UE não têm apenas interesses comuns -têm valores compartilhados. Mesmo em seu atual estado devastado, a UE é um veículo mais poderoso para a proteção e projeção global desses valores do que são os governos nacionais.  Quais são esses valores? Seria difícil superar o lema da Revolução Francesa: liberdade, igualdade, fraternidade. Você pode preferir termos diferentes ou pode apresentá-los em ordem distinta.  Eu os explicitaria como segue: liberdade aliada à abertura e tolerância; igualdade de oportunidades, e uma defesa forte do bem público. Este último item pode abranger ideias mais amplas sobre distribuição de renda e proteção social. Diferentes países têm preferências distintas. Mas todos os países da União Europeia têm em comum uma ideia forte de uma esfera pública.  Está claro que ""liberdade, igualdade, fraternidade"" não é o slogan da China ou do Brasil. Uma das características da globalização financeira tem sido a crescente desigualdade de renda obtida do trabalho. Outra vem sendo o renascimento dos regimes autoritários. Muitos países emergentes evitam o modelo econômico democrático social europeu, dando preferência ao capitalismo transacional, de base financeira, ao estilo dos Estados Unidos.  A maioria dos europeus ainda desfruta de alto grau de proteção social, educação e serviço de saúde gratuitos para os usuários. A UE vem conseguindo conservar a maioria desses serviços, mais ou menos. Mas ela não se tornou um modelo seguido pelo mundo.  As coisas eram diferentes na última década do século 18. A Revolução Francesa tornou-se o momento definidor na história do Ocidente porque o progresso intelectual e econômico da época dependia criticamente de uma mudança de valores. Teria sido impossível levar adiante a revolução industrial no século 19 com o autoritarismo do século 18. Os valores da Revolução Francesa acabaram chegando aos sistemas político e legal de quase todos os países europeus, incluindo o Reino Unido, onde o escritor Thomas Paine articulou o princípio dos direitos inalienáveis. Essas ideias influenciaram muitas reformas políticas, começando no Reino Unido com a Lei da Representação do Povo de 1832. Elas estão na base da carta de direitos fundamentais da União Europeia.  Assim, se você, como é o meu caso, desconfia das afirmações econômicas tremendamente exageradas e implausíveis feitas pela campanha do ""permanecer na UE"", considere o raciocínio alternativo: nossos valores estão sendo ameaçados por gente como o presidente russo Vladimir Putin, Donald Trump, se ele for eleito presidente dos EUA, e pessoas preconceituosas em toda parte. Estão sendo ameaçados por corporações globais que sonegam impostos e por países que desrespeitam acordos climáticos.  O argumento dos valores não é usado em sentido puramente defensivo. O importante não é apenas a proteção dos valores, mas sua projeção global. A União Europeia tem tido algumas vitórias. Sua política em relação às regiões imediatamente vizinhas está longe de ser perfeita, mas seu soft power tem ajudado a promover transições democráticas e desenvolvimento econômico em muitos países da Europa do leste e central. Quando a Rússia anexou a Crimeia, a UE conseguiu impor sanções, e é provável que as renove. Se -ou melhor, quando-a economia russa desabar, o efeito cumulativo dessas sanções terá desempenhado um papel.  É uma pena que a campanha pela permanência na UE tenha perdido tanto tempo enfocando os benefícios econômicos da participação do Reino Unido na UE. A UE é um construto econômico, é claro. Mas fazer parte da UE não diz respeito fundamentalmente à economia. Diz respeito ao nosso modo de vida.  Tradução de CLARA ALLAIN","Contra 'Brexit', valores europeus importam mais que economia"
"Poucas vezes desde que ascendeu ao topo das provas de velocidade Usain Bolt, 29, viu seu reinado tão ameaçado quanto agora no Mundial de Pequim, que se inicia na noite desta sexta-feira (21).  O astro jamaicano, detentor de seis ouros olímpicos, estreia na competição na manhã deste sábado (22), nas eliminatórias dos 100 m, com muita coisa a provar.  Nesta temporada, Bolt correu pouquíssimas vezes. Disputou apenas três provas de 100 m e outras três de 200 m, provas das quais é bicampeão olímpico. Também se viu as voltas com lesão na perna esquerda que o tirou de duas etapas do circuito mundial.  Não bastasse isso, viu seu maior rival na atualidade, o provocador Justin Gatlin, 33, quase que literalmente voar.  O norte-americano ostenta as quatro melhores marcas do mundo nos 100 m nesta temporada (a mais veloz é 9s74, sendo que a de Bolt é 9s87) e as duas mais rápidas nos 200 m.  Geralmente, é o jamaicano que costuma chegar aos grandes palcos com esses atributos. Gatlin, porém, está longe de ser um aventureiro. Campeão olímpico dos 100 m em Atenas-2004, ele foi flagrado no doping dois anos depois e permaneceu afastado das pistas por quatro temporadas.  Retornou antes dos Jogos de Londres-2012, a tempo de se reerguer e obter um bronze na prova mais rápida do atletismo no Reino Unido. Desde então, ele tem se autopromovido como o único capaz de bater Bolt.    É bom ressalvar, no entanto, que o jamaicano tem sido invencível nos últimos sete anos, mais precisamente desde que explodiu com três ouros conquistados nos Jogos de Pequim, cujas provas de atletismo ocorreram exatamente no Ninho de Pássaro, que hospeda o Mundial deste ano.  Neste período, Bolt não perdeu nenhuma disputa em Olimpíadas e Mundiais. Na única vez que não faturou ouro nas provas de velocidade, não foi de fato derrotado. Ele foi desclassificado da final dos 100 m no Mundial de Daegu-2011 por ter queimado a largada.  Todo esse histórico o faz agir com tranquilidade, mesmo em uma temporada fraca.  ""Eu estou me sentindo bem. Gostaria de ter participado de mais corridas [neste ano], mas o treinamento foi bom. O técnico [Glen Mills] está contente e é bom saber disso"", disse o astro, em entrevista coletiva realizada em um hotel em Pequim, nesta quinta (20).  ""As coisas normalmente se acertam para mim nos grandes campeonatos, então não estou preocupado"", complementou.  Bolt chegou em situação semelhante aos Jogos de Londres. Além de ter sido destronado no ano anterior nos 100 m, em Daegu, também perdeu as suas duas provas para Yohan Blake na seletiva olímpica jamaicana.  Porém, na capital inglesa, foi dominante. Venceu os 100 m, 200 m e o revezamento 4 x 100 m com autoridade e se autodenominou uma ""lenda"" por suas façanhas. Ele disputará estas mesmas provas, das quais é recordista mundial, em Pequim.  A convicção de ser o melhor do mundo, ainda, o fez descontrair a entrevista mesmo diante de tantos questionamentos.  ""Estou na minha melhor forma e correndo bem. Tudo está se encaixando. Estou pronto"".  Além de Gatlin, ele deve ter como principais rivais nos 100 m o compatriota Asafa Powell e outro norte-americano, Tyson Gay.  Segundo Bolt, este deve ser seu penúltimo Mundial. Ele planeja se aposentar na edição de 2017, em Londres, um ano após os Jogos Olímpicos do Rio.","Em ano sem brilho, Bolt se diverte com ameaças e diz estar na melhor forma"
